SQL Server 2019 CU8,15.0.4073.23,2019.150.4073.23,15.0.34.27,2018.150.34.27,KB4577194,1-Oct-20
SQL Server 2019 CU7 (Removed),15.0.4063.15,2019.150.4063.15,15.0.34.22,2018.150.34.22,KB4570012,2-Sep-20
SQL Server 2019 CU6,15.0.4053.23,2019.150.4053.23,15.0.34.21,2018.150.34.21,KB4563110,4-Aug-20
SQL Server 2019 CU5,15.0.4043.16,2019.15.0.4043.16,15.0.34.19,2018.150.34.19,KB4552255,22-Jun-20
SQL Server 2019 CU4,15.0.4033.1,2019.15.0.4033.1,15.0.34.14,2018.150.34.14,KB4548597,31-Mar-20
SQL Server 2019 CU3,15.0.4023.6,2019.15.0.4023.6,15.0.34.9,2018.150.34.9,KB4538853,12-Mar-20
SQL Server 2019 CU2,15.0.4013.40,2019.15.0.4013.40,15.0.34.1,2018.150.34.1,KB4536075,13-Feb-20
SQL Server 2019 CU1,15.0.4003.23,2019.150.4003.23,15.0.32.52,2018.150.32.52,KB4527376,7-Jan-20
SQL Server 2019 RTM,15.0.2000.5,2019.150.2000.5,15.0.32.50,2018.150.32.50,,4-Nov-19
